INSSE4	SHOLAPUR
INSTI8	SITAI
INSTP1	SATPATI
INSTR8	SUTARKANDI
INSTV1	SURAT
INSTV4	SURAT
INSWD1	SHRIWARDHAN
INSXR4	SRINAGAR
INSXV4	SALEM
INSXV6	SALEM
INTAD1	TADRI
INTEI4	TEZU
INTEL1	TELLICHERRY
INTEZ4	TEZPUR
INTHL1	THAL
INTIR4	TIRUPATI
INTIV1	TIVIRI
INTJA1	TALAJA
INTJV4	THANJAVUR
INTKD2	TUGLAKABAD
INTKD9	TUGLAKABAD
INTKN8	TIKONIA
INTMP1	TROMBAY
INTNA1	THANA
INTND1	TONDI
INTNG8	TUNGI
INTNK1	TANKARI
INTPH1	THOPPUTHURAI
INTPN1	TALPONA
INTRA1	TRANQUEBAR
INTRP1	TARAPUR
INTRV4	THIRUVANANTHAPURAM (
INTRZ4	TIRUCHIRAPALLI
INTTS8	T.T. SHED (KIDDERPOR
INTUN1	TUNA
INTUP3	TIRUPUR
INTUP6	TIRUPUR
INTUT1	TUTICORIN
INTYR1	TIRUKKADAYYUR
INUDR4	UDAIPUR
INUDR6	UDAIPUR
INULP8	ULTAPANI
INULW1	ULWA
INUMB1	UMBERGOAN
INUMR1	UMARSADI
INUND3	SECUNDERABAD
INUTN1	UTTAN
INVAD1	VADINAR
INVEN1	VENGURLA
INVEP1	VEPPALODAI
INVGA4	VIJAYAWADA
INVKM1	VALINOKKAM
INVNS4	VARANASI
INVNS6	VARANASI
INVRD1	VARAVDA
INVRU1	VADAREVU
INVSI1	VANSI-BORSI
INVSV1	VARSOVA
INVTZ1	VISAKHAPATNAM
INVTZ4	VISAKHAPATNAM
INVVA1	VERAVAL
INVYD1	VIJAYDURG
INVZJ1	VAZHINJAM
INWAL6	WALUJ (AURANGABAD)
INWGC4	WARRANGAL
